"","Country","mortality.rate","AFR","agri.forestry.fish.gdp.pct","industry.gdp.pct","CO2","fertility.rate","GDP","GDP.per.capita","GDP.grwoth.rate","GNI","inflation","population.growth","population","unemployment","Continent","Urban.pop","Household.consump","Forest.area","Arable.land","Water","Food.prod.index","Health.expend","Immunization","Sanitation.faci","Immunization.measles","Health.exp.pocket","Fixed.tel","Mobile.cel","Internet.users"
"32","Denmark",4.1,4.436,1.65472120873751,20.3979204243584,6.51480084670286,1.73,327148899962.146,58507.5002096272,0.226468475871513,256181670980.004,2.37518044050179,0.376272242619955,5591572,7.53000020980835,"Europe",87.14,11.9660435194321,14.07,0.43,100,104.62,9.42,94,99.6,90,12.44,41.08,130.28,92.26
"33","Dominican Republic",33.5,100.624,5.4010938499568,28.4202585157072,2.17854455216422,2.539,60657780260.6792,5973.22293666431,2.71736789670562,114199993903.434,5.09818154500647,1.2670342421337,10154950,6.51999998092651,"North America",76.04,10.7259791224433,38.98,0.08,85.4,128.52,2.76,85,82.9,88,38.71,10.99,86.94,41.2
"34","Ecuador",16.7,77.325,8.64241274882244,37.755274568157,2.47349501603991,2.599,87924544000,5702.10431276527,5.641962066712,159698335052.616,4.98525306124122,1.58391933577492,15419666,3.23000001907349,"South America",63.09,10.8782032180975,51.47,0.07,85.9,118.9,2.99,87,82.8,96,51.38,14.9,106.23,35.14
"35","Egypt, Arab Rep.",26.7,54.644,11.2727652713919,39.2513045560399,2.47192818505753,3.306,279372758361.832,3181.44170830415,2.22619979758359,858142951957.233,19.482877470644,2.20570450251612,87813257,12.6000003814697,"Africa",43,12.2644721583325,0.07,0.03,98.8,118.37,1.91,93,94.7,93,59.58,10.6,119.92,26.4
"36","El Salvador",17.6,73.515,6.5143553401119,25.7989363491414,1.07099751400282,2.187,21386153000,3437.59963840041,2.81407469015403,40461309613.7968,2.54892863532534,0.462163675828822,6221246,3.84999990463257,"North America",65.29,10.0063374191506,13.43,0.12,91.6,110.32,4.21,92,72.6,93,32.39,16.82,137.34,20.32
"37","Estonia",3.9,16.131,3.19358148585035,25.1289069631045,13.3240003749917,1.56,23043864510.0543,17421.8902227378,4.30725898765326,33031898254.1458,3.15975211224848,-0.357944411443807,1322696,10.0200004577637,"Europe",67.84,9.40638648141462,52.68,0.47,99.5,128.15,4.62,94,97.2,94,18.15,34.72,160.41,78.39
"38","Finland",2.8,7.423,2.35894150445711,23.3351518821981,9.07543335566445,1.8,256706466091.089,47415.5598711351,-1.42618935959564,221064507784.853,2.95356439473966,0.475809486683209,5413971,7.69000005722046,"Europe",83.82,11.8507449365199,73.11,0.42,100,92.46,6.82,99,97.6,97,18.66,16.45,172.32,89.88
"39","France",4.1,9.439,1.63179503677703,17.8685506155676,5.07506388727506,2.01,2683825225092.63,40874.715955798,0.182693034194116,2506840569891.54,1.29354161611228,0.483982311686857,65659789,9.39999961853027,"Europe",78.82,14.2160714198922,30.41,0.28,100,100.51,8.98,99,98.7,90,7.46,62.11,97.38,81.44
"40","Georgia",14.5,51.648,7.38835071532515,21.0726669705627,2.2069108496732,1.98,15846474597.7447,4142.86917588096,6.35048206593898,30417818761.1158,1.07121276361369,-1.29871955268112,3825000,15.039999961853,"Asia",53.16,9.35591668245235,40.62,0.09,98.3,72.55,1.65,92,88.1,93,64.66,29.27,107.81,36.94
"41","Germany",4,8.063,0.702906905077839,27.5925039698941,9.19929975724339,1.41,3543983909148.01,44065.2489082767,0.491992829138056,3585851182476.63,1.54029407928131,0.187727800567293,80425823,5.38000011444092,"Europe",74.69,14.4939292295882,32.75,0.15,100,106.96,8.64,96,99.2,97,13.03,60.51,111.59,82.35
"42","Ghana",65.2,71.776,22.1311546901572,27.1365335859295,0.461562599908002,4.192,41939728978.7281,1629.80022222505,9.29278941435288,90361101597.48,15.2052787311725,2.40402832192708,25733049,3.62899994850159,"Africa",52.07,10.1294375620599,40.66,0.18,85.4,138.74,3.57,92,14.4,88,29.09,1.12,100.99,10.6
"43","Greece",4,8.539,3.23772723475805,14.3259135761628,7.24700735925025,1.34,245670666639.047,22242.681934771,-7.30049393532073,281120340956.062,-0.37039202748511,-0.540752950543684,11045011,24.4400005340576,"Europe",77,12.0537632445082,30.75,0.23,100,88.47,6.22,99,99,99,28.44,49.09,120.1,55.07
"44","Guatemala",32.9,78.571,10.5536788462421,27.6800009849919,0.78401618067539,3.219,50388460920.182,3299.60553613202,2.96985742688504,104925780162.153,3.32250786709392,2.13202825156564,15271056,2.86999988555908,"North America",50.21,10.6760291537539,34.05,0.07,92,143.64,2.24,96,62.9,93,54.6,11.56,137.82,16
"45","Guinea",101.6,145.873,16.8316726100966,31.57676331595,0.228832610363065,5.175,7638045248.45942,677.043499251686,5.91691173154778,18212675630.6513,11.5142583848007,2.207402296921,11281469,4.53200006484985,"Africa",35.75,8.71293594631845,26.34,0.26,74.8,122.41,1.77,63,18.9,62,53.45,0,48.77,1.49
"46","Guyana",36,90.099,18.8726528838296,29.9210516574083,2.64888041418633,2.606,2861560060.9322,3799.75336437721,5.27630614305671,4921855148.63872,5.69323228861805,0.531358447789029,753091,11.0749998092651,"South America",28.32,7.8561723878413,84.1,0.55,95.9,113.54,4.33,97,83.6,99,31.34,19.39,68.78,33
"47","Honduras",21.9,77.761,13.5662940347061,26.1135718011836,1.05625722020409,2.694,18528601901.324,2178.38855524013,4.12868774866939,33369896848.4421,3.57978742613756,1.8277041010682,8505646,3.75,"North America",52.93,9.5864837697343,44.26,0.13,89.3,116.16,4.2,88,80,93,50.87,7.69,92.87,18.12
"48","Hungary",5.7,20.315,3.84496903936561,25.2630132089627,4.4941289440849,1.34,127856647107.82,12888.3045908829,-1.6437798988191,219050586415.254,3.38149474704773,-0.516437606548041,9920362,11,"Europe",69.83,11.1308850928658,22.7,0.44,100,78.96,4.98,99,98,99,28.25,29.68,116.07,70.58
"49","Iceland",2.5,9.36,6.71258131239805,20.8742781006285,5.61399181830654,2.04,14292008745.4017,44562.8180240514,1.31926009148246,11766282593.5493,3.28348709310742,0.532100734916982,320716,6,"Europe",93.84,8.93232476170783,0.45,0.38,100,114.72,7.28,89,98.8,90,18.06,55.24,108.05,96.21
"50","India",52.4,30.381,16.8453770659344,29.3985276966295,1.59809863737809,2.475,1827637859135.7,1446.98540954276,5.45638875297365,6136929130810.79,7.93438624839366,1.26120551067994,1263065852,3.62100005149841,"Asia",31.63,13.8951517727426,23.59,0.12,92.2,134.07,1.16,82,37.5,83,60.65,2.5,69.92,12.58
"51","Indonesia",30.6,50.475,13.3739742350727,43.5937444233377,2.559750232591,2.455,917869910105.748,3687.95399645786,6.03005065305615,2278686915195.57,3.75387875323612,1.28419898226833,248883232,4.46999979019165,"Asia",51.49,13.1513087099584,51.37,0.09,85.7,136.29,1.2,83,58.8,85,45.35,15.39,114.22,14.52
"52","Iran, Islamic Rep.",18,28.612,7.61836337076078,43.3418529368768,8.0016962450964,1.742,598853401276.101,7832.90263547524,-7.4445570297602,1303623814499.14,24.0161094436178,1.2662527441811,76453574,12.210000038147,"Asia",71.77,12.5951953747715,6.57,0.2,96,112.34,2.68,99,89.6,98,52.47,37.63,76.1,22.73
"53","Ireland",4,12.028,0.99148370712811,25.3043768857036,7.73815559101326,2,225571853194.348,49042.3382535461,0.0371547531924818,174456547300.844,2.06857080572898,0.4237438032978,4599533,14.6700000762939,"Europe",62.39,11.5388576991561,10.7,0.26,97.7,95.36,6,95,90.3,92,16.89,43.88,107.21,76.92
"54","Israel",4.2,11.543,1.22062049068119,19.9754420911819,9.54796776436382,3.05,257296579579.346,32525.9565867323,1.94250768765474,244685842343.474,3.96014042695003,1.84615132126711,7910500,6.8600001335144,"Asia",91.95,11.8775440643688,7.32,0.04,100,111.48,4.4,94,100,96,25.93,47.02,120.68,70.8
"55","Italy",3.8,6.381,1.96482908883537,21.4265728197165,6.20541385845015,1.43,2072823157059.76,34814.1251168487,-2.81901377925493,2154531375588.28,1.38015264018139,0.269541239520996,59539717,10.6499996185303,"Europe",68.56,14.0612826536327,31.06,0.12,100,92.58,7.1,97,99.5,90,18.78,35.72,159.63,55.83
"56","Jamaica",17.7,60.754,5.77144048591992,17.9938605582722,2.62666878329823,2.102,14798716216.2162,5208.99608876625,-0.614918541099811,22853821367.461,6.57327885647918,0.405574329613825,2840992,13.9300003051758,"North America",54.13,9.44212329620368,31.06,0.04,93.8,106.51,3.27,96,81.7,93,25.08,9.14,98.05,33.79
"57","Japan",3,4.479,1.14179569465804,26.7480501344359,9.63862828980874,1.41,6203213121334.12,48603.4766497749,1.49508958593792,4873844260962.84,-0.761554976018388,-0.159710675844347,127629000,4.34999990463257,"Asia",91.9,15.0997450419876,68.47,0.03,100,98.21,8.44,98,100,96,14.33,50.47,110.91,79.5
"58","Jordan",19.9,26.669,2.75200339354495,26.4118576381196,3.05836706152074,3.604,30937277605.6338,3870.75321121669,2.65117055537496,72052127928.294,4.50064380196444,5.36669088582173,7992573,12.1999998092651,"Asia",82.97,10.0983036431965,1.1,0.03,96.9,132.52,5.46,98,98.6,98,21.68,6.2,128.17,37
"59","Kazakhstan",16.4,32.087,4.28833015629833,36.3028533254093,14.4694178907699,2.62,207998568865.789,12386.7000029472,4.79999999999939,325193602190.887,4.78556980595182,1.40867697150121,16792089,5.28999996185303,"Asia",53.46,11.5091625942437,1.23,1.75,93.1,110.16,2.41,99,97.5,96,43.69,26.8,185.82,53.32
"60","Kenya",54.4,87.002,26.1699503032215,18.5992666862118,0.286745420820472,4.165,50412754861.0191,1155.02058271256,4.5632091307112,115165669681.787,9.37978065243321,2.69316939694823,43646629,11.8769998550415,"Africa",24.37,10.6074985080183,7.56,0.14,61.6,122.42,1.82,83,29.6,93,45.31,0.58,71.17,32.1
"61","Kyrgyz Republic",26.2,41.596,16.654196378216,22.2571297250342,1.80694838778713,3.2,6605139933.41063,1177.97473487848,-0.0881501927580644,15968048603.3076,8.65631680110582,1.66523655939962,5607200,8.43000030517578,"Asia",35.4,8.75270158205316,3.45,0.23,87.6,109.53,4.2,96,93,98,35.22,8.93,124.18,19.8
"62","Lao PDR",75,65.948,18.5484865741313,32.436644672501,0.264657252209568,2.974,10191350119.6808,1588.63314741682,8.02609843404085,29451879352.0942,7.52885930522015,1.28143888637757,6415169,0.689000010490417,"Asia",35.37,8.73629177285916,78.83,0.22,71.5,151.47,0.61,79,64.6,72,57.03,6.77,64.7,10.75
"63","Latvia",6.7,15.289,3.27239634548961,21.0015319196223,3.47174754795094,1.44,28119996053.2511,13822.8055940347,4.03462837497035,42941493212.3603,3.61573046487467,-1.24035915329271,2034319,15.0500001907349,"Europe",67.55,9.74514635474017,53.95,0.58,99.1,126.95,3.58,91,86.5,90,35.12,23.11,127.69,73.12
"64","Lebanon",9.4,13.597,3.72113631730496,15.1984854225114,4.60351183507295,1.671,44047334183.8806,8959.25847100454,2.79961406973648,75038478834.2756,6.9171338954644,6.90529636697728,4916404,6.55399990081787,"Asia",87.43,10.5185361552103,13.4,0.03,99,93.48,3.45,81,80.7,79,37.34,18.66,80.81,61.25
"65","Lesotho",97.4,90.491,4.99944895076325,29.1618870399347,1.15102147059612,3.253,2678475775.1495,1281.6115077407,5.99807184347738,6433653790.78176,2.48144096842861,1.2403344880668,2089928,23.1569995880127,"Africa",25.76,7.71909430051507,1.52,0.14,81.2,98.65,9.55,96,29.3,92,14.77,2.47,75.3,4.59
"66","Lithuania",5.2,14.228,4.01780246858775,27.8246722409464,4.62950967158482,1.6,42848195256.2142,14341.1816279932,3.82695401007858,71449937778.7314,2.6985133104707,-1.34120198821595,2987773,13.3599996566772,"Europe",66.6,10.1970135161448,34.69,0.76,95.8,120.6,4.35,93,91.2,93,30.35,22.31,165.06,67.23
"67","Luxembourg",2.8,6.404,0.359339088293131,10.6707242084059,20.0842194874808,1.57,56677961787.0717,106749.013622989,-0.352519360092558,33825637688.9908,2.55649680262975,2.40154189982875,530946,5.1399998664856,"Europe",89.25,9.81891120844605,33.47,0.12,100,87.92,5.99,99,97.6,99,10.97,50.92,145.36,91.95
"68","Madagascar",55,120.032,25.7722427990738,17.9649420116227,0.12110340140298,4.442,9919780071.28764,443.906100111531,3.02750809231563,30211820008.2679,5.49007826826926,2.73374640380636,22346573,0.600000023841858,"Africa",33.2,9.07421590595523,21.52,0.16,48.7,127.86,1.69,70,11.6,61,39.66,1.09,39.38,2.3
"69","Malaysia",7.5,13.149,9.79375074645921,40.1350010090069,7.49755896856738,2.11,314443149443.149,10779.5075072926,5.47345419229524,646356152815.025,0.999932303703858,1.85222003666272,29170456,3.01999998092651,"Asia",72.53,11.9584103899402,67.42,0.03,97.9,124.84,2.22,97,95.9,95,34.91,15.69,141.33,65.8
"70","Mali",125.9,178.905,38.1141024753005,19.8671989622754,0.0620839312611555,6.396,12442747897.2223,777.347686759476,-0.836178865643376,28237091118.1225,4.60482136424292,2.95245252434759,16006670,7.09999990463257,"Africa",37.58,8.79266957660954,4.06,0.43,70.9,153.77,2.25,68,23.3,75,60.91,0.75,98.38,2.8
"71","Mauritania",92.3,85.632,17.9313589332955,39.9614614985548,0.693144213716168,4.897,5231255478.38986,1365.77782179907,5.79507817187705,13013972783.6084,0.987753374875126,2.98295373995472,3830239,10.1000003814697,"Africa",58,7.85187516277497,0.23,0.11,56.7,120.36,1.76,80,38.2,75,48.13,1.71,106.04,5
