"","Country","mortality.rate","AFR","agri.forestry.fish.gdp.pct","industry.gdp.pct","CO2","fertility.rate","GDP","GDP.per.capita","GDP.grwoth.rate","GNI","inflation","population.growth","population","unemployment","Continent","Urban.pop","Household.consump","Forest.area","Arable.land","Water","Food.prod.index","Health.expend","Immunization","Sanitation.faci","Immunization.measles","Health.exp.pocket","Fixed.tel","Mobile.cel","Internet.users"
"90","Portugal",3.7,11.951,1.90723262226518,19.0991846225889,4.37605313022238,1.28,216368178659.447,20577.4026375899,-4.0282567482528,271419092894.261,-0.397566920874283,-0.405421787747567,10514844,15.5299997329712,"Europe",61.76,11.8734186601013,35.12,0.11,99.9,100.12,6.36,98,99.5,97,27.4,42.99,112.39,60.34
"91","Romania",11.1,36.352,4.6745485293382,32.5041865763784,4.07431545512808,1.52,171196268957.961,8535.0468756267,2.07716333663974,373163663838.232,4.00827222661432,-0.445177936198383,20058035,6.78999996185303,"Europe",54.09,11.5947972066331,28.93,0.44,99,87.36,4.46,91,78.3,94,19.14,21.37,104.99,45.88
"92","Russian Federation",9.8,26.42,3.20011674485357,29.2562869848414,12.7849790249662,1.691,2210256976944.74,15434.5747807126,3.65590157303011,3579360949689.46,9.08593113781212,0.168301590750173,143201676,5.44000005722046,"Europe",73.79,13.8054075843618,49.77,0.84,96.6,113.87,3.32,97,72.2,98,44.95,29.45,145.33,63.8
"93","Rwanda",52.2,30.996,29.2196686762229,16.5289479968503,0.0683174569159483,4.269,7334917696.72263,679.860750417364,8.82032111668411,16526599369.4852,5.09102559040269,2.5608813026541,10788853,3.44000005722046,"Africa",25.89,8.6302164729494,18.63,0.11,74.3,168.63,6.6,98,59.1,97,18.83,0.39,49.67,8.02
"94","Saudi Arabia",10.5,10.41,2.07934643483202,62.6911645367628,19.4195057841035,2.779,735974843360,25303.094621303,5.41144490216436,1490373845660.02,4.01551535668867,2.95999357738822,29086357,5.51999998092651,"Asia",82.51,12.2521976899924,0.45,0.11,97,110.18,2.75,98,100,98,15.23,16.97,187.36,54
"95","Senegal",59,83.601,13.9683553154165,22.7945282796017,0.577471338918714,5.003,17825417949.4095,1300.79184435477,5.11739423674786,37576289387.7172,2.61888055591453,2.98197693811671,13703513,9.02499961853027,"Africa",42.78,9.21850991023823,43.59,0.24,76.3,130.59,2.18,91,46.1,83,38.27,2.48,83.57,10.8
"96","Serbia",7.1,20.986,7.53298094952347,25.3940379703813,6.12060018249562,1.45,40742313861.1374,5659.38020403691,-1.01527038761317,91108454409.1097,6.26358236934239,-0.485299545092705,7199077,24,"Europe",55.31,10.354844660937,31.05,0.46,99.2,91.86,6.48,91,96.5,87,37.13,38.37,117.77,48.1
"97","Slovak Republic",6.6,22.643,3.23401704123981,32.3097468481337,6.05902290100616,1.34,93413992955.8972,17274.6423040509,1.65714868719411,141334378505.655,1.26175549629188,0.170183855326072,5407579,13.960000038147,"Europe",54.16,10.886352794016,40.33,0.26,100,80.49,5.68,99,98.8,99,22.37,17.9,111.91,76.71
"98","Slovenia",2.9,4.835,1.79341165737979,27.4755170389891,7.18548104448903,1.58,46352802765.5763,22532.4356384588,-2.66958205232561,58911723437.8116,0.458813835252059,0.210024305900448,2057159,8.84000015258789,"Europe",49.86,10.1750524381056,61.94,0.08,99.5,87.27,6.7,96,99.1,95,11.9,40.4,108.39,68.35
"99","South Africa",47.1,51,2.16947773569792,26.6810604686412,8.84503303913285,2.554,396327875201.304,7478.13657795036,2.21335480848441,641412485429.985,5.2827714932495,1.39596591835558,52998213,24.7299995422363,"Africa",63.27,12.4023600986058,7.62,0.24,92,120.5,4.31,68,64.7,79,7.11,9.25,130.56,41
"100","Spain",3.6,8.998,2.30993013180229,22.0317075633646,5.66093880333453,1.32,1336018949805.58,28563.8590381915,-2.92775050717711,1485648425269.36,0.067950145579772,0.0649259625617232,46773055,24.7900009155273,"Europe",78.9,13.5741237813543,36.62,0.27,100,92.29,6.67,97,99.9,97,21.81,41.87,108.36,69.81
"101","Sudan",72.9,80.008,33.1433753081828,3.3256662493268,0.300706838141128,4.771,68125631150.2939,1892.89435161374,0.521559266641674,137587245482.25,34.8762038438988,2.31293852304033,35990192,13.03600025177,"Africa",33.32,10.7883400411254,8.31,0.43,55.5,101.92,1.5,92,23.5,85,74.46,1.14,74.36,21
"102","Sweden",3,5.413,1.31306990881459,23.7442737733391,4.94230082776452,1.91,543880647757.404,57134.0770682404,-0.286320615444041,436285524926.838,1.06120113378334,0.739763272434863,9519374,7.96000003814697,"Europe",85.36,12.4416982508732,68.92,0.27,100,93.32,7.78,98,99.3,97,16.51,43.83,124.57,93.18
"103","Switzerland",4.4,3.503,0.658862437211174,25.6600696657274,4.72357428746104,1.52,668043614122.87,83538.2300783858,1.00602409742663,470868219119.81,-0.174018718381035,1.06181932886789,7996861,4.48000001907349,"Europe",73.74,12.7977493455364,31.45,0.05,100,104.05,7.52,96,99.9,93,26.02,59.04,132.06,85.2
